TransactionID,CustomerID,Date,ProductID,ProductName,Category,Quantity,PricePerUnit,PaymentMethod,Status,TotalAmount,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,CustomerSentimentScore,Churn,AcquisitionSource
T00001,C0451,2024-03-04,P974,Oil,Home Goods,2,339.02,PayPal,Completed,678.04,64.0,Female,,Gold,4,5227.18,Clothing,2024-09-11,5.19,14.22,Medium,6.03,0.96,0,Social Media - Facebook
T00002,C0187,2024-06-05,P641,Son,Clothing,4,265.7,Credit Card,Canceled,1062.8,32.0,Female,South Aimee,Gold,51,715.67,Clothing,2025-01-07,9.25,16.96,High,3.61,0.56,0,Outlet
T00003,C0378,2025-01-08,P458,Scene,Electronics,3,282.43,Debit Card,Completed,847.29,23.0,Male,Port Katrinaland,,89,4319.75,Electronics,2024-01-17,9.19,9.55,Medium,17.21,0.33,1,Outlet
T00004,C0031,2024-10-01,P864,Move,Fitness,1,346.45,Apple Pay,Pending,346.45,62.0,Female,Hoodville,Bronze,70,7997.84,Clothing,2023-05-28,9.84,18.62,High,16.61,0.87,1,Outlet
T00005,C0444,2023-10-03,P851,Art,Fitness,5,340.77,Apple Pay,,1703.85,46.0,Male,West Blakehaven,Gold,58,818.6,Fitness,2023-10-18,3.82,12.95,High,10.06,0.8,1,Social Media - Facebook
T00006,C0344,2023-01-31,P538,Democratic,Home Goods,1,242.18,Credit Card,Completed,242.18,35.0,Male,Wendychester,Gold,19,2431.13,Clothing,2024-05-14,4.23,28.46,Medium,6.38,0.36,0,Outlet
T00007,C0480,2024-03-06,P633,Vote,Accessories,5,24.1,Apple Pay,Completed,120.5,27.0,Male,Michaelchester,Bronze,59,6482.94,Accessories,2023-11-25,2.95,26.84,Low,14.28,0.74,0,Social Media - Instagram
T00008,C0004,2024-06-02,P559,Field,Electronics,4,270.71,,Canceled,1082.84,25.0,Male,Lake Jeffrey,Gold,31,5992.58,Home Goods,2023-11-24,9.31,16.43,Medium,9.63,0.9,0,Online Ads
T00009,C0467,2023-02-23,P691,None,Fitness,4,210.52,,Canceled,842.08,34.0,Female,Lake Jessica,Gold,25,8016.59,Home Goods,2024-04-23,5.29,12.14,Low,19.63,0.56,0,Online Ads
T00010,C0461,2024-03-06,P730,Politics,Clothing,1,162.99,PayPal,Canceled,162.99,49.0,Male,Villegasview,Bronze,94,367.61,Clothing,2024-12-15,1.0,5.76,High,17.73,0.55,1,Social Media - Instagram
T00011,C0005,2024-11-24,P665,Note,Accessories,5,114.47,Apple Pay,Canceled,572.35,38.0,Female,North Susan,Platinum,58,621.69,Home Goods,2024-04-18,4.41,20.98,High,9.92,0.81,0,Outlet
T00012,C0052,2023-07-23,P420,,Electronics,5,321.89,Debit Card,Canceled,1609.4499999999998,22.0,Male,Jeffreychester,Gold,40,1589.58,Fitness,2024-11-22,8.83,15.35,High,16.92,0.7,0,Social Media - X
T00013,C0069,2024-07-24,P233,,Clothing,1,335.41,Credit Card,Pending,335.41,63.0,Male,Lisastad,Platinum,77,6897.96,Clothing,2023-11-09,4.68,11.83,Low,12.03,0.53,0,Social Media - TikTok
T00014,C0104,2024-09-11,P629,Fact,Fitness,5,151.04,Debit Card,Pending,755.1999999999999,31.0,Male,Port Ryan,Silver,48,1440.22,Clothing,2023-05-21,1.8,26.95,Medium,12.87,0.54,0,Outlet
T00015,C0490,2024-11-03,P787,Church,Electronics,5,47.91,Credit Card,Completed,239.54999999999998,20.0,Male,Riceborough,Gold,17,7489.54,Electronics,2024-04-24,6.58,23.35,Medium,16.37,0.75,1,Social Media - Facebook
T00016,C0433,2023-07-11,P551,One,Home Goods,4,192.47,Apple Pay,,769.88,38.0,Male,Donnaton,Bronze,39,4719.53,Home Goods,2023-04-04,9.86,15.29,High,6.77,0.88,0,Social Media - TikTok
T00017,C0110,2024-06-19,P998,Remain,Electronics,5,41.62,Apple Pay,Canceled,208.1,47.0,Male,South Alexandraborough,Silver,60,3997.31,Accessories,2024-03-12,7.68,27.7,High,7.26,0.65,0,Online Ads
T00018,C0079,2023-03-20,P160,,Fitness,3,111.98,Credit Card,Pending,335.94,43.0,Female,Priceport,Silver,20,7571.12,Electronics,2023-08-05,7.48,22.53,Low,8.62,0.33,1,Outlet
T00019,C0089,2023-08-07,P179,Laugh,Electronics,3,431.83,Debit Card,Canceled,1295.49,33.0,Male,Nguyenhaven,Gold,88,3900.77,Fitness,2024-08-19,3.61,25.03,Low,12.59,0.87,0,Online Ads
T00020,C0187,2023-12-09,P122,Blue,Fitness,3,478.18,Apple Pay,Canceled,1434.54,32.0,Female,South Aimee,Gold,51,715.67,Clothing,2025-01-07,9.25,16.96,High,3.61,0.56,0,Outlet
T00021,C0468,2023-07-18,P193,Media,Home Goods,2,85.14,Credit Card,Completed,170.28,23.0,Male,South Andrew,,83,3568.25,Fitness,2024-01-14,9.0,10.86,Medium,7.41,0.93,1,Outlet
T00022,C0439,2024-09-11,P767,Responsibility,Fitness,1,120.88,PayPal,Completed,120.88,25.0,Male,West Erin,Platinum,24,9965.46,Accessories,2023-08-11,7.03,17.46,Low,19.85,0.47,0,Online Ads
